IMC-001 cut off mid-sentence, threshold missing
OPT-007 cut off at both ends, question never captured
OMC-005 literal blank where the instrument should be
SIG-014 stem never recovered, only reply-thread discussion
SIG-041 stem behind points wall, only reader questions survive
SIG-064 final-round stems behind paywall
2SIG-003 describes the round, states no problem
5RINGS-003 describes the round, states no problem
5RINGS-005 describes the round, states no problem
5RINGS-007 poster could not remember the question
BAM-001 describes the round, states no problem
CTC-003 describes the round, states no problem
CTC-004 describes the round, states no problem
MAVEN-001 describes the topic, no parameters given
OMC-008 describes the round, states no problem
OPT-001 describes the test, states no problem
OPT-015 describes the test format, states no problem
SIG-004 describes the round, states no problem
SIG-008 commentary on difficulty, not a question
SIG-015 describes the round, states no problem
SIG-035 describes the round, states no problem
SIG-037 describes the round, states no problem
SIG-045 describes the round, states no problem
SIG-046 describes the round, states no problem
SIG-051 describes the topic, states no problem
SIG-058 commentary on the OA, not a question
SIG-061 describes the topic, no specifics given
VIRTU-003 describes the topic, no parameters given
VIRTU-005 describes the round, states no problem
JS-008 duplicate of JS-007 (identical question, shorter record)
JUMP-007 duplicate of JUMP-002 (identical question, shorter record)
2SIG-002 duplicate of 2SIG-008 (identical question, shorter record)
SIG-042 duplicate of SIG-049, which states the same HHT/HTH problem in full rather than naming it
